#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"xinit."
A,wlsunset,"wayland redshift replacement."
,bc,"is used for a dropdown calculator."
,alacritty,"terminal."
,waybar,"sway info bar"
A,sway-borders-git,"wayland window manager with borders shadows."
,dosfstools,"access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"notification system."
,exfat-utils,"FAT drives management."
,swayidle,"wayland idle manager."
,swaybg,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,terminus-font,"the best font ever."
,neovim,"a tidier vim with some useful features"
,mpd,"lightweight music daemon."
,mpc,"terminal interface for mpd."
,mpv,"video player."
,xorg-xwayland,"wayland X apps compatibility."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,wf-recorder,"screen video recording"
,noto-fonts-emoji,"is an emoji font."
A,rofi-lbonn-wayland-git,"rofi for wayland."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,surfer-git,"minimal web browser."
,gst-plugins-bad,"bad plugins."
,gst-plugins-base,"base plugins."
,gst-plugins-good,"good plugins."
,gst-plugins-bad-libs,"graph framework."
A,sc-im,"cli spreadsheet manager."
,qt5-wayland,"Qt-5 support for wayland."
,qt6-wayland,"Qt-6 support for wayland."
,glfw-wayland,"glfw wayland backend."
A,abook,"addressbook"
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"terminal browser."
,qjackctl,"jack frontend."
A,clipman-git,"clipboard manager."
,realtime-privileges,"realtime for audio, jack etc."
,imv,"image viewer."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"audio and video information."
,atool,"archive managment and info."
,fzf,"is a fuzzy finder tool."
,highlight,"codehighlighting ."
A,swayshot,"wayland screenshot."
,zsh-syntax-highlighting,"syntax highlighting for terminal."
,zsh-autosuggestions,"history suggestions for terminal."
A,autotiling-git,"dynamic tiling."
,fff,"terminal file manager."
,htop,"system monitor."
A,wl-roots-git,"Wayland libs."
,swaylock,"wm locker."
